Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-02-21 09:45:00+00:00,68127.8046875,68185.9765625,68127.8046875,68172.5546875,23638016
2026-02-21 10:00:00+00:00,68172.75,68219.875,68147.625,68147.625,172171264
2026-02-21 10:15:00+00:00,68178.7578125,68181.5546875,68129.3984375,68168.796875,0
2026-02-21 10:30:00+00:00,68176.5625,68204.3203125,68168.9453125,68180.6328125,556085248
2026-02-21 10:45:00+00:00,68174.34375,68213.0234375,68156.1484375,68192.609375,0
2026-02-21 11:00:00+00:00,68225.3671875,68241.1796875,68186.6875,68186.6875,0
2026-02-21 11:15:00+00:00,68181.4921875,68246.34375,68175.4296875,68227.0625,19566592
2026-02-21 11:30:00+00:00,68118.796875,68169.96875,68118.5703125,68169.96875,393519104
2026-02-21 11:45:00+00:00,68070.296875,68099.2109375,68070.296875,68091.5859375,781148160
2026-02-21 12:00:00+00:00,67979.84375,68109.9140625,67964.328125,68077.7734375,0
2026-02-21 12:15:00+00:00,67950.0625,67989.1796875,67950.0625,67986.1640625,114794496
2026-02-21 12:30:00+00:00,68010.234375,68016.8046875,67921.765625,67923.8046875,0
2026-02-21 12:45:00+00:00,68173.328125,68173.328125,68013.1328125,68013.1328125,147206144
2026-02-21 13:00:00+00:00,68112.890625,68183.3984375,68112.890625,68183.3984375,0
2026-02-21 13:15:00+00:00,68224.609375,68224.609375,68106.484375,68125.0,0
2026-02-21 13:30:00+00:00,68163.9609375,68218.8359375,68163.9609375,68218.8359375,190623744
2026-02-21 13:45:00+00:00,68228.453125,68228.453125,68152.3828125,68152.3828125,0
2026-02-21 14:00:00+00:00,68212.1328125,68246.828125,68183.59375,68246.828125,0
2026-02-21 14:15:00+00:00,68428.703125,68542.2890625,68207.5390625,68212.546875,0
2026-02-21 14:30:00+00:00,68483.375,68548.7734375,68408.859375,68408.859375,0
2026-02-21 14:45:00+00:00,68451.859375,68534.5,68431.6796875,68519.0390625,0
2026-02-21 15:00:00+00:00,68494.203125,68494.203125,68420.234375,68422.8828125,423979008
2026-02-21 15:15:00+00:00,68447.3203125,68535.9609375,68447.3203125,68470.21875,0
2026-02-21 15:30:00+00:00,68634.6171875,68634.6171875,68421.28125,68432.09375,0
2026-02-21 15:45:00+00:00,68631.53125,68640.890625,68598.4140625,68628.9609375,12929024
